Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Empleados en la industria, mujeres (% del empleo femenino)",SL.IND.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afganistán,AFG,"Empleados en la industria, mujeres (% del empleo femenino)",SL.IND.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.68599987,14.45499992,13.77999973,13.07299995,13.42000008,12.96899986,12.56999969,12.18900013,11.75800037,11.23600006,10.52700043,11.39099979,11.42199993,11.10900021,11.48799992,11.72999954,12.63300037,12.93299961,14.61600018,16.28000069,17.23900032,18.93400002,20.05800056,21.06299973,21.93300056,22.95400047,24.27899933,24.47599983,24.69099998,24.84499931
Angola,AGO,"Empleados en la industria, mujeres (% del empleo femenino)",SL.IND.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.922000051,1.896000028,1.833999991,1.807000041,1.835000038,1.860999942,1.889999986,1.911000013,1.842000008,1.812999964,1.827000022,1.876999974,1.832999945,1.835999966,1.707000017,1.587000012,1.488000035,1.361999989,1.276000023,1.161999941,1.11500001,1.144000053,1.154999971,1.167999983,1.171000004,1.162999988,1.133999944,1.113999963,1.105000019,1.103000045
Albania,ALB,"Empleados en la industria, mujeres (% del empleo femenino)",SL.IND.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.55700016,7.379000187,7.413000107,7.462999821,7.423999786,7.268000126,7.019000053,7.019000053,7.051000118,7.133999825,7.228000164,7.394000053,7.585999966,7.721000195,7.931000233,8.305000305,8.550000191,8.845999718,10.26200008,10.64299965,11.42399979,10.57699966,10.23999977,11.67099953,13.8920002,14.45899963,15.13199997,15.69900036,15.97799969,16.19000053
Andorra,AND,"Empleados en la industria, mujeres (% del empleo femenino)",SL.IND.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El mundo árabe,ARB,"Empleados en la industria, mujeres (% del empleo femenino)",SL.IND.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.01383266,13.25330212,12.77897199,12.38387681,12.53220373,12.35804346,12.23976995,12.51912996,12.88163185,11.71019594,12.52519552,12.50767491,11.40280633,11.19339425,10.80262348,10.8304664,10.60096536,10.43774897,10.15254591,10.27653724,9.891574449,9.983831802,9.871225389,9.596231057,9.611425674,9.595529461,9.62250375,9.538055875,9.429501476,9.388104792
Emiratos Árabes Unidos,ARE,"Empleados en la industria, mujeres (% del empleo femenino)",SL.IND.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.60599995,14.43200016,14.2840004,14.06599998,13.77799988,13.69099998,13.67000008,13.70800018,13.69299984,13.65600014,12.81900024,11.98900032,11.1420002,10.36400032,9.729000092,9.171999931,8.684000015,8.270999908,7.899000168,7.501999855,7.123000145,6.800000191,6.531000137,6.322999954,6.163000107,5.941999912,5.676000118,5.53399992,5.461999893,5.409999847
Argentina,ARG,"Empleados en la industria, mujeres (% del empleo femenino)",SL.IND.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.00399971,19.10499954,16.30699921,14.62300014,15.09500027,12.56200027,11.68999958,10.80099964,10.86100006,10.35400009,10.45899963,9.437000275,11.22999954,10.8579998,10.67800045,10.67800045,10.47099972,10.23799992,9.687999725,9.444000244,10.02099991,9.529000282,8.984999657,8.390999794,8.656999588,8.890000343,9.166000366,9.13599968,8.829000473,8.612000465
Armenia,ARM,"Empleados en la industria, mujeres (% del empleo femenino)",SL.IND.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.15499973,9.833000183,9.532999992,9.461000443,9.295999527,9.097000122,8.927000046,8.826000214,8.67800045,8.588999748,8.458999634,8.385000229,8.31799984,8.215000153,8.031000137,7.907999992,7.877999783,6.547999859,5.383999825,5.823999882,6.375999928,7.513000011,6.500999928,8.057999611,7.53399992,7.856999874,8.795999527,8.852000237,8.972000122,9.18900013
Samoa Americana,ASM,"Empleados en la industria, mujeres (% del empleo femenino)",SL.IND.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
